source_group,relative_path,exists,bytes,sha256,evidence_role
chisel_mac_model,src/main/scala/core/CIMcore.scala,True,32370,7ba96e8bc4d0c1653df7cac05937101cdbcf893ebc664e2013ab58e30c0cd51c,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/core/Config.scala,True,10282,6360a9b1a6ba37a48cb5ba59e89baab41ce4f74214090f0ec1c809a0f8fc8d13,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/core/postConfig.scala,True,15151,edf2e76209f68d32c18cddccc11c20e2180ccfd70b85d709fe0cf50e655c3c32,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/core/Tile.scala,True,30448,9cbcdafdcca2fede8875e6343d90e2bd7f0e7f78e4ac3254199bb573dd855cc4,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/IO/ioclass.scala,True,2272,2c63437a8f7fb2569068c1bd61eb4e521dccb617ea54c177deff041902d905b8,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/FSM.scala,True,19172,6ae9327ea415cb2b35f54012e578d4c7e30a2e39adc625abce90619ff6016482,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/FSMDualMode.scala,True,25494,2a99ae4072ea755ab42dfd197ede4e56d1b292695649ca31ac26e21565b85a0e,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/MacMachine.scala,True,9092,d14dfd2f03ffee134c1b44b7290e18997e8e54b7b2c00724caf7f1c71284c67e,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/MacMachineWrapper.scala,True,9376,b13bc3e992ebd5e35890cf5f2eaaa40545c4550f09719dd622678205984b44ea,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/MultipleDetector.scala,True,2688,a0f247638f19f491673bd4c2c28d9887b1d2308f2ce8859063ca2f048690808b,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/OutRouter.scala,True,11823,e2c68816b057cda5e98887035fa46703f95faf15a2a0870bf4bb6fb9dcba318b,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/OutRouterPlane.scala,True,22915,4c50a9c5bafb9dc3f4c2cc57f28b1093a2e6c12e778ec81eaf51de86011e5616,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/Machine/OutRouterPlanePost.scala,True,50156,e5c341711b0108cce32b6b5a9411e0a4e48f5cb0d68caa14343a4b7895ddd191,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/sram/OutputBuffer.scala,True,12974,70cbba9fa4aa8a8b6dbb78ca1e124baa5ccbf1136a270b9864955259e72bc73f,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/sram/sram.scala,True,8646,0c1a4d94f7d73d316d7a77fff3c12d3ee307f220f62573461cfade9949bd99a4,MAC datapath structure and generator parameters
chisel_mac_model,src/main/scala/sram/TransSram3D.scala,True,9348,9b406d014c7ae372229b4c0ebd999f10f367363d69941ea1d7d89821783a7d26,MAC datapath structure and generator parameters
generated_mac_rtl,rtl/e203/subsys/mac_unit/async_fifo.v,True,7715,c2c3f8c9cc73c96a4a644566758cdca6a1512ba16a854ac77f964ae53c1515a4,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/b64_b256.v,True,3474,34d8a1d1d907715a259fac86865732bfd6372ad0f64067c3773a8f248c4db4e0,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/b64_b32.v,True,710,5c63541baa1d410605591cc7384b2aa582544c86fa3649c0fe4b1a8b66438e24,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/design_ram_mux.v,True,5769,01f1e07c29c5833a31698fdd731effd73bf871c0974da6b83e6128ae09179ae7,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/e203_bram_64k.v,True,9502,eb68056965b4f9c153d560f113990e42ca974bf0c6ab421c50ca64cbba4c8077,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/e203_bram_64k_512b.v,True,11599,8caff62ff6c7992dbb68f077e32d30b779a6cdc439d2defe868de6178ec548bd,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/e203_bram_test.v,True,2350,9da08fcce29a321c19c36c877243dc8bc2dfb5bb0f41d9d16304b85332f89c3b,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/Mac_ASIC_top.v,True,20308,d0e9398e9bfbdb3aa7fd3fc21419a8394af7466e74c015e459fd0fb3170a0272,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/Mac_ASIC_top_wrapper.v,True,17157,e5701a4df5e6d1f00380cfb25d6959149af3d01f04bfd88a10dda6b9c0f4dec6,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/Mac_ASIC_top_wrapper_dc.v,True,5489,473c6c7749b737d4d424314ce984cd332c1b04391f54001564fd341a57be3f4c,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/MacMachine_RamCtrlSimple.v,True,1590,806383fdb5e8eba1f7545ea373327ba5c52ed86853db7af3dca5e4222254a249,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/MacMachine_top.v,True,16142,5cf2776667eb41833b7cf4074a698159b13bd2e70ca2ecee19265c93978fcaef,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/MacMachineWrapper_dummy.v,True,10585,70044d698cd188d55459484448d09150ee89668b25330e948045ffcc0000275e,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/RamCtrlSwitch.v,True,3584,0acaa72311630d3731f27431bdd2d8b2e834373190a51ccebbe0402789b5e618,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/RamCtrlSwitch_512b.v,True,6617,21171a1ae3bc01c3948ae933417379b6c6915926ea6a62c83999365c702357bc,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/tb_Mac_ASIC_top_system.v,True,10938,9b82ca2fb60751122e35a87173050956b260162342a86d13806b7ce8b36ddc07,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/tb_sram.v,True,7509,8d45381f9c8e61592a7f326cc463589facd3a319783ab1ff6cdc3879acbd3caa,generated MAC-machine RTL and direct validation target
generated_mac_rtl,rtl/e203/subsys/mac_unit/tsdn28hpcpuhdb32x128m4mwa_130a_ssg0p81v125c.v,True,509030,1e2b3b6c14091c3493534e0d19b8089bbdc7bbc8b99b9f29e8dd17a403efa1c6,generated MAC-machine RTL and direct validation target
dma_and_subsystem_rtl,rtl/e203/subsys/bus/top/bus_top.v,True,24132,01b3c0939b089907c707f794cc0926d802a342113022020577206bae271d95de,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/apb2reg_if.v,True,895,6000b6075423bae2c108eed90745cbf580597766a38d3d2ae764d9212f786c5c,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dam_fsm.v,True,9052,fbae14f890e6cb786af0b1d36f02a8a9509d65b01d5a68e441f21e06b9d92dc4,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_axi2fifo.v,True,12508,b879026fd3b8b14bebde68e3ea03fccd89d19ac078c7c093af1a01486b1c98fe,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_core.v,True,13897,4d2fe6b363101bf5172f77512a401bb3f7d9fca18d4210cdd8b42c540c0d97c4,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_csr.v,True,3088,987e7d69dc2444bd55bed48c2606ec1bcc9210a70a71f894d06674298cc53046,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_fifo.v,True,2488,90ef8ffd1133fa6832e4dffd12db1628cbbd5dde0416aa065fb7c9cf03f691c0,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_reg.v,True,15695,c65b51116afc152106b3ff502b5b67e7e25584791e7194bdfc9623d13fa6033f,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_slice.v,True,11069,8681bc1fde2f1c07390719782573913441af8823c9b16107d9c1aaf683f437e8,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/dma/dma_top.v,True,9538,295f48eecbeb431c35418de24c9ce3c11c9c6f367b7b1939b65a8f0638d01eb7,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/e203_subsys_nice_core.v,True,23685,9e760b81334ab530a06e2ae9c12403835d6ee9f2ce71515b090681db69c5f9d3,system projection interface and DMA timing basis
dma_and_subsystem_rtl,rtl/e203/subsys/e203_subsys_top.v,True,26069,7f33f610a5d919dd870588adb771ce807c5ad209253a7b2c14ce1c48aa9816a6,system projection interface and DMA timing basis
cpu_interface_rtl,rtl/e203/core/e203_biu.v,True,41215,1d5f0ff812444f5bbc977a6adbe40dcfb6ef3b1fb23676377b37cfa481e82f5f,CPU/NICE/LSU interface timing context
cpu_interface_rtl,rtl/e203/core/e203_cpu_top.v,True,20608,3b7ef0edbe963829f709f4ddadfcaec91d4f58af661514868de1ccb430f50a3b,CPU/NICE/LSU interface timing context
cpu_interface_rtl,rtl/e203/core/e203_exu_nice.v,True,5236,7961e12ab97dd466c7fd4801878ea23da2a1c4d06734d0a425be60c6871c71d2,CPU/NICE/LSU interface timing context
cpu_interface_rtl,rtl/e203/core/e203_lsu.v,True,14831,26b5e64c70294cf961b3716015b9526fc62f8735dd87b22f0a02d1a8f8d90a81,CPU/NICE/LSU interface timing context
cpu_interface_rtl,rtl/e203/core/e203_lsu_ctrl.v,True,38847,e7118ee9cc335cef3ebbf22e6853fc33f42af9cbcf127eaa577615b0a5043477,CPU/NICE/LSU interface timing context
validation_testbench,rtl/e203/subsys/mac_unit/tb_Mac_ASIC_top_system.v,True,10938,9b82ca2fb60751122e35a87173050956b260162342a86d13806b7ce8b36ddc07,direct RTL/testbench validation context
validation_testbench,rtl/e203/subsys/mac_unit/tb_sram.v,True,7509,8d45381f9c8e61592a7f326cc463589facd3a319783ab1ff6cdc3879acbd3caa,direct RTL/testbench validation context
validation_testbench,src/test/scala/core/CIMCoreTest.scala,True,11970,d953334178a84c25efe5349793acaec89c1b078ff6af7bec09a2de6f139796e4,direct RTL/testbench validation context
validation_testbench,src/test/scala/core/MACTreeRefineTest.scala,True,9841,2ef31ececd064ad3e671a6dac2c98917dc123de0335b9b24f381f0693792faa2,direct RTL/testbench validation context
validation_testbench,src/test/scala/machine/MacMachineWrapperTest.scala,True,27680,3dc952196989ea1eaec8f12b9f9d1e5f5baa43bcfae9c66819abef9115837d88,direct RTL/testbench validation context
validation_testbench,tb/tb_mac_asic.v,True,34064,84c2c29a10576a789dfde6fc138a20da06c938c74162c699dd6b9bb5378f28bc,direct RTL/testbench validation context
validation_testbench,tb/tb_top.v,True,18416,db44108fc084b251f213ac89c7065d212741b7e87f6105ba0eb3c4574fb5aacd,direct RTL/testbench validation context
