id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,dataset,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_tile_output_transfer_cycles,rtl_output_arbiter_cycles,rtl_joint_sram_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_workmode_class,rtl_output_transfer_multiplier,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline,pytorchsim_cycles,pytorchsim_latency_us,backend_scenario,shape_desc,max_expected_runtime_s,rtl_bringup_k,rtl_bringup_cout,rtl_bringup_group_size,rtl_bringup_cin_idx_total,rtl_bringup_spatial_points,rtl_bringup_final_run_cycles,rtl_bringup_nonfinal_run_cycles,rtl_bringup_per_spatial_cycles,rtl_bringup_total_cycles,rtl_bringup_latency_us,rtl_bringup_speedup_vs_pytorchsim,rtl_bringup_status,rtl_bringup_vs_old_model_ratio,group16_v5_k,group16_v5_cout,group16_v5_group_size,group16_v5_cin_idx_total,group16_v5_spatial_points,group16_v5_per_spatial_cycle_list,group16_v5_per_spatial_cycles,group16_v5_total_cycles,group16_v5_latency_us,group16_v5_speedup_vs_pytorchsim,group16_v5_vs_group4_bringup_ratio,group16_v5_rule_status,group16_v5_status,group16_v5_note,group16_v7_k,group16_v7_cout,group16_v7_cin_idx_total,group16_v7_spatial_points,group16_v7_per_spatial_cycle_list,group16_v7_per_spatial_cycles,group16_v7_total_cycles,group16_v7_latency_us,group16_v7_speedup_vs_pytorchsim,group16_v7_vs_group4_bringup_ratio,group16_v7_rule_status,group16_v7_status,group16_v7_adversarial_scope_status,group16_v7_adversarial_scope_note,group16_v7_note
unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,UNet early feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_64_320_320.log,1,187707,187707,199.68829787234043,54.757187,248.62105263157895,90.38184210526317,0.93,189336,2682072,344064,ok,workload_v1,921600,28800,368640,20480,42,5120,2304,5120,81920,5120,1041786,1108.2829787234043,3774873600,3774873600,1.0,256,90,10,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.18017807879929276,187707.0,199.68829787234043,current_rtl,,,3,10,4,90,256,565.0,562.0,50583.0,12949248.0,13775.795745,0.014496,extrapolated_from_21_small_rtl_cases,12.429854,3,10,16,90,256,205.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,4925.0,1260800.0,1341.276596,0.148879,0.097365,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,10,90,256,1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1505.0;1508.0,135453.0,34675968.0,36889.32766,0.005413,2.677836,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,UNet middle feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_32_640_640.log,1,136456,136456,145.1659574468085,60.090444,392.6328571428571,86.04750000000001,0.52,215040,3317760,122880,ok,workload_v1,921600,115200,184320,10240,52,2560,960,2560,40960,2560,981652,1044.3106382978724,3774873600,3774873600,1.0,64,180,20,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.13900649109867855,136456.0,145.1659574468085,current_rtl,,,3,20,4,180,64,1105.0,1102.0,198363.0,12695232.0,13505.565957,0.010749,extrapolated_from_21_small_rtl_cases,12.932518,3,20,16,180,64,395.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,9885.0,632640.0,673.021277,0.215693,0.049833,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,20,180,64,2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2975.0;2978.0,535503.0,34272192.0,36459.778723,0.003982,2.699611,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,UNet late high-channel conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_16_1280_1280.log,1,294253,294253,313.0351063829787,108.73231,422.60100000000006,38.95533333333333,0.13,510800,8110080,62720,ok,workload_v1,921600,460800,92160,5120,72,1280,240,1280,20480,1280,951672,1012.4170212765957,3774873600,3774873600,1.0,16,360,40,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.30919581536495766,294253.0,313.0351063829787,current_rtl,,,3,40,4,360,16,2185.0,2182.0,785523.0,12568368.0,13370.604255,0.023412,extrapolated_from_21_small_rtl_cases,13.206617,3,40,16,360,16,775.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,19805.0,316880.0,337.106383,0.928594,0.025213,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,40,360,16,5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5915.0;5918.0,2129403.0,34070448.0,36245.157447,0.008637,2.710809,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,Attention QKV projection proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_qkv_4096_320_320.log,1,34810,34810,37.03191489361702,18.970953,367.9275,59.317499999999995,4.76,50352,475136,323580,ok,workload_v1,102400,3200,40960,20480,42,0,9,2560,40960,0,166531,177.16063829787234,419430400,419430400,1.0,256,10,10,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.20903015054254162,34810.0,37.03191489361702,current_rtl,,,1,10,4,10,256,152.0,149.0,1493.0,382208.0,406.604255,0.091076,extrapolated_from_21_small_rtl_cases,2.295116,1,10,16,10,256,205.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,685.0,175360.0,186.553191,0.198506,0.458808,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,10,10,256,first_spatial=685.0;repeat_spatial=533.0;spatial_points=256,533.5938,136600.0,145.319149,0.254832,0.357397,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_large_spatial_extent_unvalidated,large spatial extent exceeds direct-clean workload range,RTL-calibrated projection; full workload RTL validation not claimed
attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,Attention score GEMM proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_score_1024_64_1024.log,1,13070,13070,13.904255319148936,9.315375,350.43,36.15,8.48,17468,49152,220406,ok,workload_v1,16384,2048,2048,16384,64,0,15,2048,32768,0,67919,72.25425531914894,67108864,67108864,1.0,64,2,32,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.19243510652394763,13070.0,13.904255319148936,current_rtl,,,1,32,4,2,64,438.0,435.0,873.0,55872.0,59.438298,0.233928,extrapolated_from_21_small_rtl_cases,0.822627,1,32,16,2,64,623.0;56.0,679.0,43456.0,46.229787,0.300764,0.777778,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,32,2,64,first_spatial=679.0;repeat_spatial=109.0;spatial_points=64,117.9062,7546.0,8.02766,1.732043,0.135059,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,D_direct_rtl_blocked,direct RTL attempt observed Cluster/Router/Output X; invalid as clean workload evidence,RTL-calibrated projection; full workload RTL validation not claimed
attn_softmax_1024_1024,SD_UNet_Attention,mid_attn,softmax,1024 1024,Attention softmax proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_softmax_1024_1024.log,1,43587,43587,46.36914893617021,45.213539,368.726,0.0,57.71,63600,787712,229888,ok,workload_v1,,,,,,,,,,,,,,,,,,,,,operator not supported by current FLOOD RTL-aware model,,43587.0,46.36914893617021,current_rtl,,,,,,,,,,,,,,unsupported_operator,,,,,,,,,,,,,,unsupported_operator,,,,,,,,,,,,,unsupported_operator,D_excluded,operator not supported by current FLOOD RTL model,
