model,layer_or_workload,dataflow,bandwidth,buffer_size,latency_cycles_pytorchsim,latency_cycles_flood_projection,buffer_usage,stall_cycles,utilization_pytorchsim_systolic_pct,utilization_vector_pct,dram_read_count,dram_write_count,dram_total_count,compute_cycles,memory_load_store_cycles,weight_load_cycles,activation_load_cycles,output_store_cycles,noc_reduce_cycles,shift_add_cycles,joint_sram_cycles,compute_cycle_percent,memory_cycle_percent,reduction_cycle_percent,data_source,readiness,missing_reason
SD UNet / synthetic UNet trace,unet_conv_64_320_320,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,187707.0,34675968.0,MISSING,MISSING,90.38184210526317,0.93,2682072,344064,3026136.0,921600.0,417920.0,28800.0,368640.0,20480.0,2304.0,5120.0,5120.0,2.6577,1.2052,0.0066,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,unet_conv_32_640_640,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,136456.0,34272192.0,MISSING,MISSING,86.04750000000001,0.52,3317760,122880,3440640.0,921600.0,309760.0,115200.0,184320.0,10240.0,960.0,2560.0,2560.0,2.6891,0.9038,0.0028,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,unet_conv_16_1280_1280,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,294253.0,34070448.0,MISSING,MISSING,38.95533333333333,0.13,8110080,62720,8172800.0,921600.0,558080.0,460800.0,92160.0,5120.0,240.0,1280.0,1280.0,2.705,1.638,0.0007,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_qkv_4096_320_320,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,34810.0,136600.0,MISSING,MISSING,59.317499999999995,4.76,475136,323580,798716.0,102400.0,64640.0,3200.0,40960.0,20480.0,9.0,0.0,0.0,74.9634,47.3206,0.0066,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_score_1024_64_1024,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,13070.0,7546.0,MISSING,MISSING,36.15,8.48,49152,220406,269558.0,16384.0,20480.0,2048.0,2048.0,16384.0,15.0,0.0,0.0,217.1217,271.4021,0.1988,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,attn_softmax_1024_1024,,PyTorchSim observed aggregate DRAM GB/s,MISSING,43587.0,,MISSING,MISSING,0.0,57.71,787712,229888,1017600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_excluded,buffer occupancy/stall cycles require simulator counter export
SD VAE,vae_dec_conv_64_256_128,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,47318.0,11483904.0,MISSING,MISSING,78.072,1.26,1123027,98112,1221139.0,294912.0,312320.0,9216.0,294912.0,8192.0,768.0,2048.0,2048.0,2.568,2.7196,0.0067,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_qkv_256_768_768,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,10941.0,20818.0,MISSING,MISSING,44.1,2.18,197120,34784,231904.0,36864.0,27648.0,18432.0,6144.0,3072.0,15.0,0.0,0.0,177.0775,132.8081,0.0721,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_mlp_256_768_3072,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,36396.0,22186.0,MISSING,MISSING,58.739999999999995,2.28,638976,101568,740544.0,147456.0,92160.0,73728.0,6144.0,12288.0,15.0,0.0,0.0,664.6354,415.3971,0.0676,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
DiT / attention proxy,dit_softmax_256_256,,PyTorchSim observed aggregate DRAM GB/s,MISSING,4602.0,,MISSING,MISSING,0.0,40.74,24672,8256,32928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,MISSING,MISSING,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_excluded,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,623.0,223.0,MISSING,MISSING,0.16,2.57,2240,264,2504.0,64.0,518.0,512.0,2.0,4.0,7.0,0.0,0.0,28.6996,232.287,3.139,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,1101.0,541.0,MISSING,MISSING,0.18,1.45,8976,264,9240.0,256.0,2060.0,2048.0,8.0,4.0,7.0,0.0,0.0,47.3198,380.7763,1.2939,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_003,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,6118.0,42304.0,MISSING,MISSING,75.32,2.75,6250,8192,14442.0,1024.0,2248.0,72.0,1152.0,1024.0,64.0,256.0,256.0,2.4206,5.3139,0.1513,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_004,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,6796.0,379200.0,MISSING,MISSING,67.8,2.18,30771,8192,38963.0,9216.0,20608.0,1152.0,18432.0,1024.0,64.0,256.0,256.0,2.4304,5.4346,0.0169,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,656.0,427.0,MISSING,MISSING,0.15,1.07,2312,64,2376.0,64.0,521.0,512.0,8.0,1.0,1.0,0.0,0.0,14.9883,122.0141,0.2342,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_006,pointwise_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,2117.0,6976.0,MISSING,MISSING,24.185000000000002,7.27,9216,8192,17408.0,1024.0,3200.0,128.0,2048.0,1024.0,64.0,0.0,0.0,14.6789,45.8716,0.9174,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_large_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_007,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,1804.0,6976.0,MISSING,MISSING,28.38,8.09,9216,8192,17408.0,1024.0,3200.0,128.0,2048.0,1024.0,1.0,0.0,0.0,14.6789,45.8716,0.0143,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_008,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,1694.0,6375.0,MISSING,MISSING,13.635,1.59,13904,640,14544.0,960.0,3461.0,1536.0,1848.0,77.0,1.0,0.0,0.0,15.0588,54.2902,0.0157,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_009,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,6802.0,7242.0,MISSING,MISSING,30.11,8.41,16384,65536,81920.0,8192.0,11264.0,1024.0,2048.0,8192.0,15.0,0.0,0.0,113.1179,155.5371,0.2071,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_large_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_010,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,3611.0,27328.0,MISSING,MISSING,28.36,4.04,36864,8192,45056.0,4096.0,9728.0,512.0,8192.0,1024.0,1.0,0.0,0.0,14.9883,35.5972,0.0037,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_011,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,2745.0,94800.0,MISSING,MISSING,41.97,1.46,18336,2048,20384.0,2304.0,6016.0,1152.0,4608.0,256.0,16.0,64.0,64.0,2.4304,6.346,0.0169,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_012,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,2292.0,94800.0,MISSING,MISSING,50.260000000000005,1.75,11547,2048,13595.0,2304.0,6016.0,1152.0,4608.0,256.0,16.0,64.0,64.0,2.4304,6.346,0.0169,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_013,pointwise_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,999.0,1744.0,MISSING,MISSING,12.81,4.8,3072,2112,5184.0,256.0,896.0,128.0,512.0,256.0,16.0,0.0,0.0,14.6789,51.3761,0.9174,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_014,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,940.0,1744.0,MISSING,MISSING,13.62,4.26,2560,2048,4608.0,256.0,896.0,128.0,512.0,256.0,1.0,0.0,0.0,14.6789,51.3761,0.0573,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_015,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,2131.0,2010.0,MISSING,MISSING,24.03,6.76,8192,16384,24576.0,2048.0,3584.0,1024.0,512.0,2048.0,15.0,0.0,0.0,101.8905,178.3085,0.7463,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,B_direct_rtl_clean_workload_row,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_gemm_016,gemm,PyTorchSim observed aggregate DRAM GB/s,MISSING,1513.0,6832.0,MISSING,MISSING,16.92,3.57,10496,2048,12544.0,1024.0,2816.0,512.0,2048.0,256.0,1.0,0.0,0.0,14.9883,41.2178,0.0146,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_017,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,2877.0,189552.0,MISSING,MISSING,40.04,1.18,23040,2048,25088.0,4608.0,11776.0,2304.0,9216.0,256.0,16.0,64.0,64.0,2.431,6.2125,0.0084,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_018,pointwise_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,1120.0,3440.0,MISSING,MISSING,11.43,3.04,5120,2048,7168.0,512.0,1536.0,256.0,1024.0,256.0,16.0,0.0,0.0,14.8837,44.6512,0.4651,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_direct_rtl_blocked,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_019,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,8001.0,758208.0,MISSING,MISSING,57.59,2.02,73728,8192,81920.0,18432.0,40192.0,2304.0,36864.0,1024.0,64.0,256.0,256.0,2.431,5.3009,0.0084,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_020,pointwise_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,2206.0,13760.0,MISSING,MISSING,23.21,6.98,18432,8192,26624.0,2048.0,5376.0,256.0,4096.0,1024.0,64.0,0.0,0.0,14.8837,39.0698,0.4651,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,D_observed_multicin_spatial_x_boundary,buffer occupancy/stall cycles require simulator counter export
SD UNet / synthetic UNet trace,trace_conv_021,spatial_conv,PyTorchSim observed aggregate DRAM GB/s,MISSING,6246.0,209856.0,MISSING,MISSING,73.78,2.37,26739,1024,27763.0,4608.0,18568.0,72.0,18432.0,64.0,0.0,128.0,128.0,2.1958,8.848,0.0,PyTorchSim counters + FLOOD RTL-aware cycle decomposition,C_projection_large_k3_extent_unvalidated,buffer occupancy/stall cycles require simulator counter export
